Number of VNRs,Algorithm,Revenue To Cost Ratio (%)
5,first-fit-algorithm,54.8571428571429
10,first-fit-algorithm,58.3832335329341
15,first-fit-algorithm,57.9710144927536
5,worst-fit-algorithm,41.3881748071979
10,worst-fit-algorithm,44.9090909090909
15,worst-fit-algorithm,47.0031545741325
5,first-fit-algorithm,59.8958333333333
10,first-fit-algorithm,61.5131578947368
15,first-fit-algorithm,61.5131578947368
5,worst-fit-algorithm,47.7064220183486
10,worst-fit-algorithm,48.2758620689655
15,worst-fit-algorithm,49.6496496496497
5,first-fit-algorithm,57.6612903225807
10,first-fit-algorithm,59.7785977859779
15,first-fit-algorithm,60.9154929577465
5,worst-fit-algorithm,45.2784503631961
10,worst-fit-algorithm,46.7336683417086
15,worst-fit-algorithm,46.1674008810573
5,first-fit-algorithm,64.9122807017544
10,first-fit-algorithm,64.2857142857143
15,first-fit-algorithm,64.2857142857143
5,worst-fit-algorithm,43.5967302452316
10,worst-fit-algorithm,47.4747474747475
15,worst-fit-algorithm,48.6211901306241
5,first-fit-algorithm,62.1323529411765
10,first-fit-algorithm,61.6822429906542
15,first-fit-algorithm,62.2857142857143
5,worst-fit-algorithm,51.2121212121212
10,worst-fit-algorithm,52.4416135881104
15,worst-fit-algorithm,52.4416135881104
